"Name","Path","Type","Pkg","Git","Branch","Remote","AS","Clasp","SB","Ready"
".cbv","D:\Workspace\projects\.cbv","UNKNOWN","False","False","","","0","0","0","LAB"
".cbv_control","D:\Workspace\projects\.cbv_control","UNKNOWN","False","False","","","0","0","0","LAB"
".chatgpt","D:\Workspace\projects\.chatgpt","UNKNOWN","False","False","","","0","0","0","LAB"
".cursor","D:\Workspace\projects\.cursor","UNKNOWN","False","False","","","0","0","0","LAB"
".docs","D:\Workspace\projects\.docs","UNKNOWN","False","False","","","0","0","0","LAB"
"_DEV_SANBOX","D:\Workspace\projects\_DEV_SANBOX","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"00_CBV_MAIN_SMALL","D:\Workspace\projects\00_CBV_MAIN_SMALL","Mixed","False","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"ACP_BACKEND_API","D:\Workspace\projects\ACP_BACKEND_API","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"ACP_DASHBOARD_UI","D:\Workspace\projects\ACP_DASHBOARD_UI","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"ADMIN_CONTROL_PANEL","D:\Workspace\projects\ADMIN_CONTROL_PANEL","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"Admin-Xu-Ly-Hoa-Don-Dau-Vao","D:\Workspace\projects\Admin-Xu-Ly-Hoa-Don-Dau-Vao","AppsScript","False","True","dev","git@github.com:vinanissi/Admin-Xu-Ly-Hoa-Don-Dau-Vao.git","2","2","0","LAB"
"BGV-DASHBOARD","D:\Workspace\projects\BGV-DASHBOARD","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"BOT_hoa-don-dau-vao","D:\Workspace\projects\BOT_hoa-don-dau-vao","AppsScript","False","True","dev","https://github.com/vinanissi/BOT_hoa-don-dau-vao.git","1","1","0","LAB"
"BOT_TONG-HOP-DAU-VAO_V2025","D:\Workspace\projects\BOT_TONG-HOP-DAU-VAO_V2025","AppsScript","False","True","dev","github.com (credential stripped)","3","2","0","LAB"
"BRANCH_xu-ly-hoa-don-dau-vao","D:\Workspace\projects\BRANCH_xu-ly-hoa-don-dau-vao","AppsScript","False","True","dev","https://github.com/vinanissi/BRANCH_xu-ly-hoa-don-dau-vao.git","1","1","0","LAB"
"BRAVE-HUB-AI","D:\Workspace\projects\BRAVE-HUB-AI","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CALENDAR_SYSTEM","D:\Workspace\projects\CALENDAR_SYSTEM","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_AI_GOVERNANCE","D:\Workspace\projects\CBV_AI_GOVERNANCE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_ASK_BOSS_FORM","D:\Workspace\projects\CBV_ASK_BOSS_FORM","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_BACKUP_MANAGER","D:\Workspace\projects\CBV_BACKUP_MANAGER","AppsScript","False","True","feature/delta-mirror-dashboard-l3","github.com (credential stripped)","1","1","0","LAB"
"CBV_BAN_GIAO","D:\Workspace\projects\CBV_BAN_GIAO","AppsScript","False","True","main","github.com (credential stripped)","1","0","0","PILOT_CANDIDATE"
"CBV_CASEFLOW","D:\Workspace\projects\CBV_CASEFLOW","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_CHECKIN","D:\Workspace\projects\CBV_CHECKIN","AppsScript","False","True","dev","github.com (credential stripped)","2","2","0","LAB"
"CBV_CONTROL_PANEL","D:\Workspace\projects\CBV_CONTROL_PANEL","AppsScript","False","True","dev","https://github.com/vinanissi/CBV_CONTROL_PANEL.git","1","1","0","LAB"
"CBV_CONTROL_PLANE","D:\Workspace\projects\CBV_CONTROL_PLANE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_DebugLib","D:\Workspace\projects\CBV_DebugLib","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_DINH_GIA_CONG_VIEC","D:\Workspace\projects\CBV_DINH_GIA_CONG_VIEC","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"CBV_DRIVE_DIRECTORY-QUAN_LY_LINK_DRIVE_DON_VI","D:\Workspace\projects\CBV_DRIVE_DIRECTORY-QUAN_LY_LINK_DRIVE_DON_VI","AppsScript","False","True","dev","https://github.com/vinanissi/CBV_DRIVE_DIRECTORY-QUAN_LY_LINK_DRIVE_DON_VI.git","3","3","0","LAB"
"CBV_DRIVE_GOVERNANCE","D:\Workspace\projects\CBV_DRIVE_GOVERNANCE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_DRIVE_OS","D:\Workspace\projects\CBV_DRIVE_OS","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"CBV_EMAIL_REGISTRY","D:\Workspace\projects\CBV_EMAIL_REGISTRY","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_Email_Router","D:\Workspace\projects\CBV_Email_Router","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_FE","D:\Workspace\projects\CBV_FE","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_FINA","D:\Workspace\projects\CBV_FINA","Mixed","False","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_FINANCE","D:\Workspace\projects\CBV_FINANCE","Mixed","False","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_FINANCE_1","D:\Workspace\projects\CBV_FINANCE_1","AppsScript","False","True","main","github.com (credential stripped)","1","0","0","PILOT_CANDIDATE"
"CBV_FINANCE_2","D:\Workspace\projects\CBV_FINANCE_2","Mixed","False","True","HEAD","","0","0","0","LAB"
"CBV_FINANCE_CONTROL_CENTER","D:\Workspace\projects\CBV_FINANCE_CONTROL_CENTER","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_FINANCE_DNTT","D:\Workspace\projects\CBV_FINANCE_DNTT","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"CBV_FINANCE_DNTT_V1","D:\Workspace\projects\CBV_FINANCE_DNTT_V1","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"CBV_FINANCE_FLOW","D:\Workspace\projects\CBV_FINANCE_FLOW","AppsScript","False","True","dev_CONTROL_PANEL","github.com (credential stripped)","1","1","0","LAB"
"CBV_FINANCE_SIMPLE","D:\Workspace\projects\CBV_FINANCE_SIMPLE","Mixed","False","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_GAS_CORE","D:\Workspace\projects\CBV_GAS_CORE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_GAS_GATEWAY","D:\Workspace\projects\CBV_GAS_GATEWAY","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_GAS_UI_VIEWER","D:\Workspace\projects\CBV_GAS_UI_VIEWER","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_HO_SO","D:\Workspace\projects\CBV_HO_SO","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_HO_SO_HTX","D:\Workspace\projects\CBV_HO_SO_HTX","AppsScript","False","True","dev","github.com (credential stripped)","2","3","0","LAB"
"CBV_HO_SO_HTX_1","D:\Workspace\projects\CBV_HO_SO_HTX_1","Mixed","False","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_HOA_DON_INBOX_AI","D:\Workspace\projects\CBV_HOA_DON_INBOX_AI","AppsScript","False","True","dev","github.com (credential stripped)","2","2","0","LAB"
"CBV_HUMAN_GOVERNANCE","D:\Workspace\projects\CBV_HUMAN_GOVERNANCE","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_HUMAN_GOVERNANCE-GAS","D:\Workspace\projects\CBV_HUMAN_GOVERNANCE-GAS","Mixed","True","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"CBV_INTAKE","D:\Workspace\projects\CBV_INTAKE","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"CBV_INTAKE_FILE_PROCESSOR","D:\Workspace\projects\CBV_INTAKE_FILE_PROCESSOR","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_INTAKE_FILE_ROUTER","D:\Workspace\projects\CBV_INTAKE_FILE_ROUTER","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_INTAKE_OCR_MVP","D:\Workspace\projects\CBV_INTAKE_OCR_MVP","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"CBV_InvoiceLib","D:\Workspace\projects\CBV_InvoiceLib","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"CBV_LAOKONG_LOVA","D:\Workspace\projects\CBV_LAOKONG_LOVA","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_LAOKONG_VEHICLE","D:\Workspace\projects\CBV_LAOKONG_VEHICLE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_LEVEL_CONTROL","D:\Workspace\projects\CBV_LEVEL_CONTROL","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_MEMBER_ENGINE_PC","D:\Workspace\projects\CBV_MEMBER_ENGINE_PC","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_MOD_INVOICE_DRAFT_API","D:\Workspace\projects\CBV_MOD_INVOICE_DRAFT_API","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_OCS","D:\Workspace\projects\CBV_OCS","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_OPERATION_ASSISTANT","D:\Workspace\projects\CBV_OPERATION_ASSISTANT","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_OPS_ORCHESTRATION","D:\Workspace\projects\CBV_OPS_ORCHESTRATION","AppsScript","False","True","main","github.com (credential stripped)","1","1","0","PILOT_CANDIDATE"
"CBV_PC_CORE","D:\Workspace\projects\CBV_PC_CORE","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_PERSONAL_FINANCE","D:\Workspace\projects\CBV_PERSONAL_FINANCE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_PROMPT_CONTROL_PANEL","D:\Workspace\projects\CBV_PROMPT_CONTROL_PANEL","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_QL_CONG_VIEC","D:\Workspace\projects\CBV_QL_CONG_VIEC","AppsScript","False","True","staging","github.com (credential stripped)","1","1","0","LAB"
"CBV_QL_DRIVE","D:\Workspace\projects\CBV_QL_DRIVE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_QL_FILES","D:\Workspace\projects\CBV_QL_FILES","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"cbv_qlvt_scraper","D:\Workspace\projects\cbv_qlvt_scraper","NodeReact","True","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_QUAN_LY_VAN_BAN_V2+","D:\Workspace\projects\CBV_QUAN_LY_VAN_BAN_V2+","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_SCHOOL_BE","D:\Workspace\projects\CBV_SCHOOL_BE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_SCHOOL_FE","D:\Workspace\projects\CBV_SCHOOL_FE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_SCHOOL_V2","D:\Workspace\projects\CBV_SCHOOL_V2","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_SETTLEMENT (Đối soát & Thanh toán xã viên)","D:\Workspace\projects\CBV_SETTLEMENT (Đối soát & Thanh toán xã viên)","Mixed","False","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_SO_DIEU_PHOI_VIEC","D:\Workspace\projects\CBV_SO_DIEU_PHOI_VIEC","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_SSA","D:\Workspace\projects\CBV_SSA","AppsScript","False","False","","","1","1","0","LAB"
"CBV_SSA_CKS","D:\Workspace\projects\CBV_SSA_CKS","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_SSA_IRI_INVOICE_REQUEST_INTAKE","D:\Workspace\projects\CBV_SSA_IRI_INVOICE_REQUEST_INTAKE","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_SSA_LAOCONG_MAIN","D:\Workspace\projects\CBV_SSA_LAOCONG_MAIN","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_SSA_LAOCONG_PRO","D:\Workspace\projects\CBV_SSA_LAOCONG_PRO","AppsScript","False","True","feature/main-control-v2.1","github.com (credential stripped)","6","2","0","PRO"
"CBV_SSA_LAOCONG_VOS","D:\Workspace\projects\CBV_SSA_LAOCONG_VOS","AppsScript","False","True","feature/task-runtime-integration","github.com (credential stripped)","2","2","0","PILOT"
"CBV_SSA_TASK+NAV","D:\Workspace\projects\CBV_SSA_TASK+NAV","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
"CBV_SSA_v1","D:\Workspace\projects\CBV_SSA_v1","AppsScript","False","False","","","3","0","0","LAB"
"CBV_SYNC_DAEMON","D:\Workspace\projects\CBV_SYNC_DAEMON","NodeReact","True","False","","","0","0","0","LAB"
"CBV_SYNC_ROOT","D:\Workspace\projects\CBV_SYNC_ROOT","Mixed","False","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_SYSTEM_CONTROL_CENTER","D:\Workspace\projects\CBV_SYSTEM_CONTROL_CENTER","Mixed","False","True","main","github.com (credential stripped)","0","0","0","PILOT_CANDIDATE"
"CBV_SYSTEM_HUB","D:\Workspace\projects\CBV_SYSTEM_HUB","AppsScript","False","True","dev","github.com (credential stripped)","1","1","0","LAB"
